label,value,caseReference
Description_v1,Update on StreamBase & LDM for Bloor,92671
state,Ongoing_v1,92661
Contributor_v7,Mark Hudson,92661
Location_v1,United Kingdom,92661
Description_v1,Algo trading scope expansion - NYC,92661
state,Ongoing_v1,92651
Contributor_v7,Manuel Carlos Rodriguez,92651
Description_v1,WI Extension for Google ,92651
state,Ongoing_v1,87551
Contributor_v7,Manuel Carlos Rodriguez,87551
Location_v1,Spain,87551
Description_v1,Real Time Credit Card Scoring,87551
state,Ongoing_v1,92641
Contributor_v7,Manuel Carlos Rodriguez,92641
Location_v1,Spain,92641
Description_v1,PaaS Dynamic Management,92641
state,Completed,92621
Contributor_v7,Manuel Carlos Rodriguez,92621
Location_v1,Spain,92621
Description_v1,Case management meeting for Prosegur,92621
state,Completed,92631
Contributor_v7,Manuel Carlos Rodriguez,92631
Location_v1,Spain,92631
Description_v1,Integration update meeting with Bankia Corporate Investment Baking,92631
state,Ongoing_v1,92601
Contributor_v7,Bruno Souleres,92601
Location_v1,Germany,92601
Description_v1,Support SC with creating a Spotfire dashboard for analyzing cryptocurrencies performance,92601
state,Ongoing_v1,92591
Contributor_v7,Bruno Souleres,92591
Location_v1,France,92591
Description_v1,Recognition of hand drawn diagram,92591
state,Completed,92581
Contributor_v7,Bruno Souleres,92581
Location_v1,Germany,92581
Description_v1,Supporting SC with parsing Bluecoat logs with LogLogic,92581
state,Ongoing_v1,92571
Contributor_v7,Bruno Souleres,92571
Location_v1,France,92571
Description_v1,Develop a Spotfire extension to import/export visualization,92571
state,Ongoing_v1,92561
Contributor_v7,Bruno Souleres,92561
Location_v1,France,92561
Description_v1,BW process monitoring,92561
state,Ongoing_v1,92551
Contributor_v7,Eric Carlier,92551
Location_v1,France,92551
Description_v1,Presentation to Total's IoT Architect : Insights + Flogo,92551
state,Ongoing_v1,92541
Contributor_v7,Eric Carlier,92541
Location_v1,France,92541
Description_v1,Prepare ML @ the Edge session at Big Data Paris Event,92541
state,Ongoing_v1,92531
Contributor_v7,Eric Carlier,92531
Location_v1,France,92531
Description_v1,Prepare ML @ the Edge session at Big Data Paris Event,92531
state,Ongoing_v1,92521
Contributor_v7,Eric Carlier,92521
Location_v1,France,92521
Description_v1,Geofencing Analytics Cloud App,92521
state,Ongoing_v1,92511
Contributor_v7,Eric Carlier,92511
Location_v1,France,92511
Description_v1,IoT Extreme Networks Hospitality Demo App,92511
state,Completed,77351
Contributor_v7,Jörg Grote,77351
Location_v1,Germany,77351
Description_v1,support SC & Partner BTC for their Opportunity IGS,77351
state,Completed,92481
Contributor_v7,Jörg Grote,92481
Location_v1,Netherland,92481
Description_v1,support Education with Q&A Request to sell TEN,92481
state,Completed,82031
Contributor_v7,Jörg Grote,82031
Location_v1,France,82031
Description_v1,EDF Demo preparation,82031
state,Ongoing_v1,92451
Contributor_v7,Nam Ton That,92451
Location_v1,France,92451
Description_v1,SpotFire LiveApps Market Place,92451
state,Ongoing_v1,92441
Contributor_v7,Nam Ton That,92441
Location_v1,France,92441
Description_v1,POC Cloud accelerator,92441
state,Ongoing_v1,92431
Contributor_v7,Nam Ton That,92431
Location_v1,France,92431
Description_v1,L Oreal POC,92431
state,Completed,92071
Contributor_v7,Jeremy Smith,92071
Location_v1,Netherland,92071
Description_v1,"Meetings with NN regarding Tibco cloud, Case Management Accelerator and SOD",92071
state,Completed,92061
Contributor_v7,Jeremy Smith,92061
Location_v1,Netherland,92061
Description_v1,"Meetings with ABN Amro regarding Tibco cloud, Case Management Accelerator and SOD",92061
state,Completed,90841
Contributor_v7,Jeremy Smith,90841
Location_v1,Other,90841
Description_v1,Potential use of case management accelerator at National Australia Bank (NAB) to replace iProcess Implementation + other projects,90841
state,Completed,90611
Contributor_v7,Jeremy Smith,90611
Location_v1,United Kingdom,90611
Description_v1,"Workshop with data science team (Ana) on ML, AI and Tibco Cloud",90611
state,Completed,90601
Contributor_v7,Jeremy Smith,90601
Location_v1,Other,90601
Description_v1,Introduce Ikea Architect to Tibco Cloud and Live Apps,90601
state,Ongoing_v1,90301
Contributor_v7,Nicolas Marzin,90301
Location_v1,United Kingdom,90301
Description_v1,Work with Ana on TIBCO Cloud & Data Science use cases,90301
state,Ongoing_v1,87561
Contributor_v7,Manuel Carlos Rodriguez,87561
Location_v1,Spain,87561
Description_v1,iPE and BW6 connectivity,87561
state,Completed,86581
Contributor_v7,Jeremy Smith,86581
Location_v1,United States of America,86581
Description_v1,Assist Rakesh Malhotra (SC India) in preparing for Iron Mountain POC/Demo + Malaysia Passport Office POC/Demo,86581
state,Completed,85961
Contributor_v7,Jörg Grote,85961
Location_v1,Germany,85961
Description_v1,Twilio API Connector for TCI Web Integrator,85961
state,Completed,85951
Contributor_v7,Jörg Grote,85951
Location_v1,Germany,85951
Description_v1,Demo Skill to demonstrate integration between TIBCO ActiveMatrix BPM and Amazon Alexa,85951
state,Completed,85931
Contributor_v7,Jeremy Smith,85931
Location_v1,Other,85931
Description_v1,Help Goeran Johansson (SC) prepare Tibco Cloud/Live Apps demo for partner conference,85931
state,Completed,85921
Contributor_v7,Jeremy Smith,85921
Location_v1,Other,85921
Description_v1,Help Goeran Johansson (SC) prepare Tibco Cloud/Live Apps demo for partner conference,85921
state,Completed,85901
Contributor_v7,Jeremy Smith,85901
Location_v1,United States of America,85901
Description_v1,"Helping to prep Tibco Cloud/Live apps demo for McKinsey & Company, Inc",85901
state,Completed,85441
Contributor_v7,Eric Carlier,85441
Location_v1,Belgium,85441
Description_v1,Support StreamBase and Accelerators presentation at IPCOS (Oil & Gas Specialist),85441
state,Completed,84001
Contributor_v7,Jeremy Smith,84001
Location_v1,United States of America,84001
Description_v1,Forrester DCM Live Apps demo + tibco cloud,84001
state,Completed,83991
Contributor_v7,Jeremy Smith,83991
Location_v1,United States of America,83991
Description_v1,Forrester DCM Live Apps demo + tibco cloud,83991
state,Ongoing_v1,83291
Contributor_v7,Bruno Souleres,83291
Location_v1,France,83291
Description_v1,Development of a Spotfire extension for Nam's Asset Marketplace,83291
state,Completed,83281
Contributor_v7,Bruno Souleres,83281
Location_v1,France,83281
Description_v1,Spotfire POC - Helped implementing ARIMA models to predict failures on mining trucks and do predictive maintenance.,83281
state,Ongoing_v1,77391
Contributor_v7,Florent Cenedese,77391
Location_v1,France,77391
Description_v1,Blockchain for HealthCare,77391
state,Ongoing_v1,82951
Contributor_v7,Florent Cenedese,82951
Location_v1,United Kingdom,82951
Description_v1,AWS And GridServer : FRTB : Phase 2 : Build a random Trades valuation generator to harness the system using MCMC simulation model,82951
state,Ongoing_v1,81921
Contributor_v7,Mark Hudson,81921
Location_v1,United Kingdom,81921
Description_v1,Videos for Fraud Investigation LiveApps Case Management,81921
state,Completed,82061
Contributor_v7,Jeremy Smith,82061
Location_v1,France,82061
Description_v1,Nimbus demo and overview for Manutan,82061
state,Ongoing_v1,82021
Contributor_v7,Mark Hudson,82021
Location_v1,Switzerland,82021
Description_v1,Julius Baer machine learning for trade surveillance,82021
state,Ongoing_v1,82041
Contributor_v7,Mark Hudson,82041
Location_v1,United Kingdom,82041
Description_v1,Domestic & General Intelligent Insurer,82041
state,Completed,82001
Contributor_v7,Jeremy Smith,82001
Location_v1,United Kingdom,82001
Description_v1,Delivery of AMX:BPM Connector for Tibco Cloud Integration to engineering,82001
state,Completed,81991
Contributor_v7,Nicolas Marzin,81991
Location_v1,France,81991
Description_v1,Live Apps opportunity for Product Returns,81991
state,Ongoing_v1,81981
Contributor_v7,Jeremy Smith,81981
Location_v1,United States of America,81981
Description_v1,Forrester Briefing on Live Apps for DCM Wave,81981
state,Ongoing_v1,81971
Contributor_v7,Jeremy Smith,81971
Location_v1,United Arab Emirates,81971
Description_v1,Assisting Bahwan (partner) with demo for Arab Bank Jordan,81971
state,Ongoing_v1,81961
Contributor_v7,Nicolas Marzin,81961
Location_v1,France,81961
Description_v1,iWRM 2018 with improved lpSolver,81961
state,Ongoing_v1,81951
Contributor_v7,Nicolas Marzin,81951
Location_v1,France,81951
Description_v1,Produce a NPS Demo for Lending based on Live apps,81951
state,Completed,76711
Contributor_v7,Nicolas Marzin,76711
Location_v1,France,76711
Description_v1,Feedbacks on TIBCO Cloud Live Apps to UX Team,76711
state,Completed,76291
Contributor_v7,Jörg Grote,76291
Location_v1,Germany,76291
Description_v1,TCI WI Extension Development,76291
state,Completed,76281
Contributor_v7,Jörg Grote,76281
Location_v1,Germany,76281
Description_v1,Flynn in a Lego Box,76281
state,Ongoing_v1,76681
Contributor_v7,Nicolas Marzin,76681
Location_v1,France,76681
Description_v1,L'Oreal Complex Case Management POC ,76681
state,Ongoing_v1,76671
Contributor_v7,Nicolas Marzin,76671
Location_v1,France,76671
Description_v1,AE/SC starter pack for Audit & Compliance with Nimbus,76671
state,Completed,76271
Contributor_v7,Jörg Grote,76271
Location_v1,Germany,76271
Description_v1,Partner Automation Info Day at 3 of their Customers ,76271
state,Completed,76231
Contributor_v7,Nicolas Marzin,76231
Location_v1,France,76231
Description_v1,Lie Apps opportunity for Manutan (Product Returns)à,76231
state,Completed,76221
Contributor_v7,Nicolas Marzin,76221
Location_v1,France,76221
Description_v1,CXP 2018 Market Analysis,76221
state,Completed,76211
Contributor_v7,Nicolas Marzin,76211
Location_v1,France,76211
Description_v1,Customer Tour with Roger King & Bruno Trimouille,76211
state,Completed,76201
Contributor_v7,Nicolas Marzin,76201
Location_v1,France,76201
Description_v1,Customer Tour with Roger King & Bruno Trimouille,76201
state,Completed,76191
Contributor_v7,Nicolas Marzin,76191
Location_v1,France,76191
Description_v1,Customer Tour with Roger King & Bruno Trimouille,76191
state,Completed,75011
Contributor_v7,Nicolas Marzin,75011
Location_v1,France,75011
Description_v1,Customer Tour with Roger King & Bruno Trimouille,75011
state,Draft,109691
ProductName,test,109691
state,Draft,75951
ProductName,Handbag,75951
state,TestsFailed_v1,1541
Fiberendpointid_v1,12345,1541
CustomerName_v1,Nicolas,1541
CustomerAddress_v1,Paris,1541
state,Submitted,47841
Name_v1,paul,47841
Reference_v1,123,47841
Type_v1,Wrong Product,47841
state,Submitted,36201
Name_v1,Nam,36201
Reference_v1,12,36201
Type_v1,Faulty Product,36201
state,Submitted,34341
Name_v1,James West,34341
Reference_v1,543,34341
Type_v1,Customer Service,34341
state,Submitted,34331
Name_v1,James West,34331
Reference_v1,554,34331
Type_v1,Customer Service,34331
state,Submitted,33931
Name_v1,Dave Smith,33931
Reference_v1,148,33931
Type_v1,Customer Service,33931
state,Submitted,34321
Name_v1,Dave Smith,34321
Reference_v1,148,34321
Type_v1,Customer Service,34321
state,Submitted,33921
Name_v1,Dave Smith,33921
Reference_v1,148,33921
Type_v1,Customer Service,33921
state,Submitted,34301
Name_v1,Dave Smith,34301
Reference_v1,148,34301
Type_v1,Customer Service,34301
state,Submitted,34291
Name_v1,Dave Smith,34291
Reference_v1,148,34291
Type_v1,Customer Service,34291
state,Submitted,33911
Name_v1,Dave Smith,33911
Reference_v1,148,33911
Type_v1,Customer Service,33911
state,Submitted,34281
Name_v1,Dave Smith,34281
Reference_v1,148,34281
Type_v1,Customer Service,34281
state,Submitted,34271
Name_v1,Dave Smith,34271
Reference_v1,148,34271
Type_v1,Customer Service,34271
state,Submitted,34221
Name_v1,Fred,34221
Reference_v1,1236828,34221
Type_v1,Customer Service,34221
state,Submitted,33731
Name_v1,nico,33731
Reference_v1,7377373,33731
Type_v1,Customer Service,33731
state,Submitted,33001
Name_v1,Jane Rose,33001
Reference_v1,876,33001
Type_v1,Customer Service,33001
state,Submitted,33671
Name_v1,Dave Smith,33671
Reference_v1,148,33671
Type_v1,Customer Service,33671
state,Submitted,33661
Name_v1,Dave Smith,33661
Reference_v1,148,33661
Type_v1,Customer Service,33661
state,Submitted,32981
Name_v1,Dave Smith,32981
Reference_v1,148,32981
Type_v1,Customer Service,32981
state,Submitted,31961
Name_v1,Dave Smith,31961
Reference_v1,789,31961
Type_v1,Customer Service,31961
state,Submitted,31951
Name_v1,Dave Smith,31951
Reference_v1,789,31951
Type_v1,Other,31951
state,Submitted,31941
Name_v1,Dave Smith,31941
Reference_v1,148,31941
Type_v1,Customer Service,31941
state,Submitted,31931
Name_v1,Dave Smith,31931
Reference_v1,148,31931
Type_v1,Customer Service,31931
state,Submitted,31921
Name_v1,James West,31921
Reference_v1,12,31921
Type_v1,Faulty Product,31921
state,Submitted,31911
Name_v1,James West,31911
Reference_v1,12,31911
Type_v1,Customer Service,31911
state,Submitted,32501
Name_v1,James West,32501
Reference_v1,12,32501
Type_v1,Other,32501
state,Submitted,32481
Name_v1,James Smith,32481
Reference_v1,876,32481
Type_v1,Customer Service,32481
state,Submitted,32471
Name_v1,Dave Smith,32471
Reference_v1,148,32471
Type_v1,Customer Service,32471
state,Submitted,32461
Name_v1,Johnny Vegas,32461
Reference_v1,777,32461
Type_v1,Customer Service,32461
state,Submitted,31901
Name_v1,test,31901
Reference_v1,555,31901
Type_v1,Customer Service,31901
state,Submitted,31891
Name_v1,Dave Smith,31891
Reference_v1,148,31891
Type_v1,Customer Service,31891
state,Submitted,32451
Name_v1,Dave Smith,32451
Reference_v1,148,32451
Type_v1,Customer Service,32451
state,Submitted,32441
Name_v1,Dave Smith,32441
Reference_v1,148,32441
Type_v1,Customer Service,32441
state,Submitted,31881
Name_v1,Dave Smith,31881
Reference_v1,148,31881
Type_v1,Customer Service,31881
state,Submitted,32431
Name_v1,Dave Smith,32431
Reference_v1,148,32431
Type_v1,Customer Service,32431
state,Submitted,32421
Name_v1,Dave Smith,32421
Reference_v1,148,32421
Type_v1,Customer Service,32421
state,Submitted,32411
Name_v1,Dave Smith,32411
Reference_v1,148,32411
Type_v1,Customer Service,32411
state,Submitted,32401
Name_v1,Freddie Mercury,32401
Reference_v1,1888,32401
Type_v1,Customer Service,32401
state,Submitted,32391
Name_v1,Dave Smith,32391
Reference_v1,148,32391
Type_v1,Customer Service,32391
state,Submitted,32381
Name_v1,John Roberts,32381
Reference_v1,12333,32381
Type_v1,Customer Service,32381
state,Submitted,32371
Name_v1,Jez Smith,32371
Reference_v1,12333,32371
Type_v1,Customer Service,32371
state,Submitted,31851
Name_v1,Dave Smith,31851
Reference_v1,148,31851
Type_v1,Customer Service,31851
state,Submitted,31841
Name_v1,Jeremy Smith,31841
Reference_v1,0,31841
Type_v1,Customer Service,31841
state,Submitted,31831
Name_v1,Dave Smith,31831
Reference_v1,148,31831
Type_v1,Customer Service,31831
state,Submitted,32361
Name_v1,Dave Smith,32361
Reference_v1,148,32361
Type_v1,Customer Service,32361
state,Submitted,31821
Name_v1,Dave Smith,31821
Reference_v1,147,31821
Type_v1,Customer Service,31821
state,Submitted,31811
Name_v1,Dave Smith,31811
Reference_v1,147,31811
Type_v1,Customer Service,31811
state,Submitted,31801
Name_v1,Dave Smith,31801
Reference_v1,145,31801
Type_v1,Customer Service,31801
state,Submitted,32341
Name_v1,Dave Smith,32341
Reference_v1,145,32341
Type_v1,Customer Service,32341
state,Submitted,32331
Name_v1,David Rose,32331
Reference_v1,144,32331
Type_v1,Customer Service,32331
state,Submitted,31791
Name_v1,David Rose,31791
Reference_v1,569,31791
Type_v1,Customer Service,31791
state,Submitted,32321
Name_v1,David Rose,32321
Reference_v1,569,32321
Type_v1,Customer Service,32321
state,Submitted,32311
Name_v1,David Rose,32311
Reference_v1,569,32311
Type_v1,Customer Service,32311
state,Submitted,32301
Name_v1,David Rose,32301
Reference_v1,569,32301
Type_v1,Customer Service,32301
state,Submitted,32291
Name_v1,David Rose,32291
Reference_v1,569,32291
Type_v1,Customer Service,32291
state,Submitted,32281
Name_v1,David Rose,32281
Reference_v1,569,32281
Type_v1,Customer Service,32281
state,Submitted,31781
Name_v1,David Rose,31781
Reference_v1,569,31781
Type_v1,Customer Service,31781
state,Submitted,31771
Name_v1,David Rose,31771
Reference_v1,569,31771
Type_v1,Customer Service,31771
state,Submitted,32251
Name_v1,David Rose,32251
Reference_v1,569,32251
Type_v1,Customer Service,32251
state,Submitted,32241
Name_v1,David Rose,32241
Reference_v1,569,32241
Type_v1,Customer Service,32241
state,Submitted,32231
Name_v1,David Rose,32231
Reference_v1,567,32231
Type_v1,Customer Service,32231
state,Submitted,32221
Name_v1,David Rose,32221
Reference_v1,567,32221
Type_v1,Customer Service,32221
state,Submitted,31761
Name_v1,David Rose,31761
Reference_v1,567,31761
Type_v1,Customer Service,31761
state,Submitted,32211
Name_v1,David Rose,32211
Reference_v1,567,32211
Type_v1,Customer Service,32211
state,Submitted,32201
Name_v1,David Rose,32201
Reference_v1,567,32201
Type_v1,Customer Service,32201
state,Submitted,31751
Name_v1,David Rose,31751
Reference_v1,567,31751
Type_v1,Customer Service,31751
state,Submitted,32191
Name_v1,David Rose,32191
Reference_v1,567,32191
Type_v1,Customer Service,32191
state,Submitted,32171
Name_v1,Johnny,32171
Reference_v1,777,32171
Type_v1,Customer Service,32171
state,Submitted,31741
Name_v1,Johnny,31741
Reference_v1,777,31741
Type_v1,Customer Service,31741
state,Submitted,32161
Name_v1,Johnny,32161
Reference_v1,777,32161
Type_v1,Customer Service,32161
state,Submitted,32141
Name_v1,Johnny,32141
Reference_v1,777,32141
Type_v1,Customer Service,32141
state,Submitted,31731
Name_v1,Johnny,31731
Reference_v1,777,31731
Type_v1,Customer Service,31731
state,Submitted,32131
Name_v1,Johnny,32131
Reference_v1,777,32131
Type_v1,Customer Service,32131
state,Submitted,32121
Name_v1,Dave,32121
Reference_v1,999,32121
Type_v1,Customer Service,32121
state,Submitted,31671
Name_v1,john smith,31671
Reference_v1,12345,31671
Type_v1,Customer Service,31671
state,Submitted,32081
Name_v1,john smith,32081
Reference_v1,12345,32081
Type_v1,Customer Service,32081
state,BeingInvestigated,11811
Name_v1,John Smith,11811
Reference_v1,12345,11811
Type_v1,Billing,11811
state,Submitted,22221
Name_v1,david smith,22221
Reference_v1,73847,22221
Type_v1,Billing,22221
state,Submitted,21731
Name_v1,james west,21731
Reference_v1,8888,21731
Type_v1,Customer Service,21731
state,Submitted,22061
Name_v1,john smith,22061
Reference_v1,2344,22061
Type_v1,Billing,22061
state,Submitted,11841
Name_v1,John Smith,11841
Reference_v1,12345,11841
Type_v1,Billing,11841
state,BeingInvestigated,10881
Name_v1,Ambroise,10881
Reference_v1,123456,10881
Type_v1,Faulty Product,10881
state,BeingInvestigated,10401
Name_v1,Nam,10401
Reference_v1,1234,10401
Type_v1,Faulty Product,10401
state,Submitted,10261
Name_v1,John Smith,10261
Reference_v1,12,10261
Type_v1,Billing,10261
state,BeingInvestigated,9771
Name_v1,Nicolas Marzin,9771
Reference_v1,8888,9771
Type_v1,Faulty Product,9771
state,Submitted,5691
Name_v1,John Smith,5691
Reference_v1,1236828,5691
Type_v1,Billing,5691
state,Activated_v1,8991
MeterType_v1,Energy,8991
MeterSerialNumber_v1,895623119,8991
state,Pending_v1,101461
Tags_v1,"James West @Eagle Cl, Swindon SN3 5DT, UK",101461
state,Pending_v1,101441
Tags_v1,"John Smith @Church Row, Poole Keynes, Cirencester GL7 6EG, UK",101441
state,Pending_v1,101431
Tags_v1,"John Smith @Church Row, Poole Keynes, Cirencester GL7 6EG, UK",101431
state,Pending_v1,101421
Tags_v1,string string @string,101421
state,Validated_v1,101241
Tags_v1,"John Smith @6 West Road Lane, Virginia, USA",101241
AccountId_v1,12345,101241
state,Closed_v1,101131
Tags_v1,Nicolas Marzin @asdasdasds,101131
AccountId_v1,27236232,101131
state,Validated_v1,67391
Tags_v1,"sadasd sadasdas @US-6, Eagle, CO 81631, USA",67391
AccountId_v1,67766767,67391
state,Pending_v1,67361
Tags_v1,"asdasd asdasd @US-6, Eagle, CO 81631, USA",67361
state,Pending_v1,48391
Tags_v1,string string @string,48391
state,Pending_v1,47941
Tags_v1,"sadas asdas @6 Eagle Dr, Emerson, NJ 07630, USA",47941
state,Pending_v1,47931
Tags_v1,string string @string,47931
state,Validated_v1,47771
Tags_v1,"Jeremy Smith @6 Egg Ct, Dublin, OH 43017, USA",47771
AccountId_v1,55555,47771
state,Validated_v1,48141
Tags_v1,"John Smith @6 Eagle Dr, Shelton, CT 06484, USA",48141
AccountId_v1,22222,48141
state,Pending_v1,47761
Tags_v1,string string @string,47761
state,Pending_v1,47741
Tags_v1,string string @string,47741
state,Validated_v1,47731
Tags_v1,string string @string,47731
AccountId_v1,77777,47731
state,Validated_v1,47721
Tags_v1,string string @string,47721
AccountId_v1,22323232,47721
state,Onboarded_v1,27051
CustomerFirstname_v1,Manuel Carlos,27051
CustomerLastname_v1,Rodriguez Alvarez Querol,27051
state,Onboarded_v1,27041
CustomerFirstname_v1,Jeremy,27041
CustomerLastname_v1,Smith,27041
state,Onboarded_v1,27031
CustomerFirstname_v1,Nam,27031
CustomerLastname_v1,Ton That,27031
state,DocumentsUpload_v1,48281
CustomerFirstname_v1,Achile,48281
CustomerName_v1,Talon,48281
CustomerId_v1,AT123,48281
state,DocumentsUpload_v1,27631
CustomerFirstname_v1,Jeremy,27631
CustomerName_v1,Smith,27631
CustomerId_v1,1,27631
state,DocumentsUpload_v1,29211
CustomerFirstname_v1,Manuel Carlos,29211
CustomerName_v1,Rodriguez,29211
CustomerId_v1,3,29211
state,Onboarded_v1,28081
CustomerFirstname_v1,Nam,28081
CustomerName_v1,Ton That,28081
CustomerId_v1,2,28081
state,Created_v1,110211
CaseTag_v3,20180402/001 Ricky Russell,110211
CaseInitiation_v7,Engine WIN-ML5S6H8ICI7 02Apr2018 11:48,110211
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 02Apr2018 11:48,110211
state,Created_v1,107801
CaseTag_v3,20180321/001 Randy Collins,107801
CaseInitiation_v7,Engine SPOTFIREDEMO 21Mar2018 13:48,107801
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 21Mar2018 13:48,107801
state,Created_v1,107031
CaseTag_v3,20180319/001 Willie Hernandez,107031
CaseInitiation_v7,Engine WIN-ML5S6H8ICI7 19Mar2018 11:25,107031
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 19Mar2018 11:25,107031
state,Created_v1,105371
CaseTag_v3,20180314/004 Esther Mcdonald,105371
CaseInitiation_v7,Engine SPOTFIREDEMO 14Mar2018 14:16,105371
CaseSummary_1_v4,Prob 100.00% vs 70.00% & Oddity 12.8 vs 15.0 14Mar2018 14:16,105371
state,Created_v1,105361
CaseTag_v3,20180314/003 Robert Green,105361
CaseInitiation_v7,Engine SPOTFIREDEMO 14Mar2018 14:16,105361
CaseSummary_1_v4,Prob 91.00% vs 70.00% & Oddity 6.5 vs 15.0 14Mar2018 14:16,105361
state,Created_v1,105351
CaseTag_v3,20180314/002 David Castillo,105351
CaseInitiation_v7,Engine SPOTFIREDEMO 14Mar2018 14:16,105351
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 3.9 vs 15.0 14Mar2018 14:16,105351
state,Created_v1,105341
CaseTag_v3,20180314/001 Robert Green,105341
CaseInitiation_v7,Engine SPOTFIREDEMO 14Mar2018 14:16,105341
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 14Mar2018 14:16,105341
state,Created_v1,103181
CaseTag_v3,20180307/001 Ricky Russell,103181
CaseInitiation_v7,Engine SPOTFIREDEMO 07Mar2018 16:12,103181
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 07Mar2018 16:12,103181
state,Created_v1,102551
CaseTag_v3,20180228/001 Jose Ross,102551
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 20:38,102551
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 28Feb2018 20:38,102551
state,Investigating_v1,102481
CaseTag_v3,20180228/004 Denise Pierce,102481
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:19,102481
CaseSummary_1_v4,Prob 100.00% vs 70.00% & Oddity 12.8 vs 15.0 28Feb2018 17:19,102481
state,Created_v1,102501
